proud-spaceship-120 - average_num_of_new_cells_visited_in_minute,atomic-darkness-117 - average_num_of_new_cells_visited_in_minute,likely-disco-115 - average_num_of_new_cells_visited_in_minute
46.36,11.8,43.88
43.8,11.48,38.52
42.88,10.64,43.8
41.08,9.04,44.6
36.16,10.16,40.68
37.84,11,38.44
38.16,9.36,30.08
36.8,9.56,30.04
31.56,10.6,36.16
31.8,9.48,31.68
29.72,10.68,31.68
32.24,9.84,27.16
32.68,10.32,22.36
30.04,9.76,16.32
22.64,8.16,20.6
30.16,8.96,21.52
26.4,7.56,21.8
24,9.2,24.16
24.48,7.72,16.28
23.16,6.96,18.2
22.8,6.96,20.32
22.88,8.96,22.12
22,9.64,20.44
19.16,9.32,18.44
21.36,8.44,21.48
23.28,9.28,17.88
16.56,7.24,15
13.28,7.6,15.2
13.36,7.96,10.56
18.24,6.92,12.16
19.36,8,16.44
17.36,7.28,11.72
16.04,6.84,10.8
17.48,7.6,12.32
10.08,7.16,17.08
14.08,7.6,18.28
15.72,5.48,12.72
12.68,6.04,12.12
12.28,4.72,12.16
12.2,5.64,13.92
10.28,6,10.76
12.32,6.64,12.84
11.96,6.2,7.36
11.24,5.6,12.4
9.72,6.08,9.88
10.48,5.72,11.4
8.6,6.2,7.2
9.56,5.24,8.52
8.08,3.92,9.36
8.48,6.08,10.72
9.72,4.76,6.44
9.84,4.68,12.6
10.68,4.84,12.24
5.76,5.44,7.08
7.76,5.32,8.76
8.28,4.96,10.2
6.64,5.36,5.76
7.28,5.36,8.2
8.96,4.4,5.36
6.84,4.44,6.92
5.96,4.4,6.36
9.08,5.36,5.88
8.32,4.36,5.72
6.04,4.52,6.6
6,4.92,9.88
4.72,6.36,3.76
4.44,5.76,4.8
5.44,5.76,6.68
7.12,5,5.6
4.8,5.16,8.36
5.08,6.08,6.48
5.72,6.48,9
4.08,6.08,4.16
4.48,4.96,2.48
5.08,3.96,8.8
3.24,5.44,5.28
3.64,5,5.44
5.12,5.36,3.96
4.44,5.92,6.48
4.84,5.84,5.68
5.6,5.64,2.68
5.4,3.76,4.88
4.92,3.08,4.12
4.4,3.36,5.64
4.48,3.68,4.04
2.04,4.2,4.56
4.2,3.96,2.72
2.48,4.48,4.88
2.8,4,4.28
3.2,3.2,4.36
4.36,3.56,4.04
3.32,4.76,3.72
2.4,5.08,3.08
2.32,3.96,4.2
2.08,3.96,3.68
1.08,5.08,5.84
1.88,4.8,2.72
3,4.52,3.52
2.68,3.32,3.68
2.6,4.12,3.24
48,12.52,43.96
44.44,10.56,35.04
41.24,10.56,49.64
38.8,9.92,46.6
35.08,9.76,40.6
37.6,9.72,36.92
34.56,11.24,37.2
35.44,8.56,30.6
31.04,7.96,28.16
33.12,10,32.4
34.04,9.08,28.44
32.24,8.76,25.64
24.64,7.4,22.96
31.16,8.36,24.56
29.04,7.2,19.64
29.88,7.32,19.08
28.84,7.44,24.96
27.72,7.2,20.36
26.96,7.16,14.96
24.88,5.92,16.04
20.4,7.96,14.24
22.04,7.32,16
21.2,6.96,17.52
18.04,7.16,20.96
20.92,7.56,13.28
19.48,9.84,15.76
15.68,7.36,18.28
16.08,6.6,14.76
17.6,7.04,14.48
15,6.68,14.64
17.92,7.8,14.4
13.04,7.56,10.24
14.68,6.92,15.84
17.2,8.08,14.88
15.44,9.4,19.72
10.64,7.12,12.84
15.92,7.8,15.04
17.12,7.88,9.24
12.04,7.12,12.32
13.12,6.64,13.08
11.44,6.6,12.68
11.48,7.48,12.4
11.04,7.64,9.44
8.84,7.92,13.6
8.84,6.88,14.72
10.72,6.6,11.68
8.16,6.76,8.96
9.72,5.28,10.76
11.48,5.96,10.6
10.36,6.16,9.24
6.4,7.8,6.84
9.84,7.28,7.4
9.4,6.12,6.4
8.56,6.24,8.76
8.56,4.96,7
9,5.44,8.72
7.6,5.08,13
10.2,6.08,8.08
5.52,5.36,10
8.16,5.56,8.8
4.56,6.12,7.12
5.84,5.88,8.52
4.88,5.36,5.44
5.48,5.84,5.64
5.76,4.72,7.04
5.44,3.72,8.12
4.68,2.92,5.08
7.8,3.8,6.28
5.12,4.64,5.6
6.56,4.28,6.08
5.16,3.88,4.96
5.8,4.52,7.44
4.36,5.08,4.96
3.96,3.08,6.72
3.92,4.48,2.08
4.4,6,5.08
4.24,5.4,6.2
4.36,5.6,7.52
3.68,5.96,5.12
3.72,3.36,7.04
3,5.04,5.96
5.36,5.88,6.76
4.28,4.76,3.88
3.4,4.32,4.28
4.44,4,3.44
3.24,5.56,5.04
2.96,3.76,1.36
3.96,4.24,3.28
4.88,5.64,2.08
3.04,5.56,1.52
3.36,4.12,3.64
2.88,5.36,4.12
3.32,4.2,7.08
2.92,4.96,4
3.08,4.04,2.32
3.24,4.56,3.88
2.92,5.16,2.6
2.56,4.16,1.56
2.08,4.28,3.08
2.44,4.64,1.44
48,11.8,46.12
38.8,9.84,36.12
43.76,9.92,48.24
39.08,9.52,47.28
38.08,9.08,40.8
36.28,10,40.12
32.96,10.76,36.12
33.12,9.08,30.2
31.6,8.04,30.68
33.24,9.48,25.4
30.84,8.48,27.04
29.28,9.68,31.44
27.44,7.88,23.6
25.44,8.4,23.12
28.64,7.96,22.48
24.32,6.56,24
27.4,8.64,19.24
24.72,8.68,17.92
23.48,8.92,19.32
18.8,8.32,15
21.28,7.8,16.92
22.44,9.12,20.76
20.6,9.04,18.12
22.4,10,15.68
20.92,8.76,14.76
22.56,9.4,15.64
17.92,8.6,16.16
20.36,8.12,18.4
18.64,7.6,18.72
16,7.44,13.16
16.84,6.52,14.76
13.76,7.88,16
